"Key","File","Type","UsedInMainMenu","english","schinese","tchinese"
"vehicleApacheHelicopter","vehicles","Vehicle","","AH-64 阿帕奇直升机","AH-64 阿帕奇直升机","AH-64 阿帕奇直升機"
"vehicleApacheHelicopterPlaceable","items","Item","","AH-64 阿帕奇直升机","AH-64 阿帕奇直升机","AH-64 阿帕奇直升機"
"vehicleApacheHelicopterPlaceableDesc","items","Item","","双座武装直升机。车辆制作100级，在AEC载具总装台制作。主驾按住右键瞄准，R切换准星火箭与制导导弹，G开火；导弹需锁定活着的僵尸2秒，单发冷却8秒。副驾左键机炮、右键2倍瞄准、中键标记。三种专用弹药放入飞机货仓。空格上升、C下降。","双座武装直升机。车辆制作100级，在AEC载具总装台制作。主驾按住右键瞄准，R切换准星火箭与制导导弹，G开火；导弹需锁定活着的僵尸2秒，单发冷却8秒。副驾左键机炮、右键2倍瞄准、中键标记。三种专用弹药放入飞机货仓。空格上升、C下降。","双座武装直升机。车辆制作100级，在AEC载具总装台制作。主驾按住右键瞄准，R切换准星火箭与制导导弹，G开火；导弹需锁定活着的僵尸2秒，单发冷却8秒。副驾左键机炮、右键2倍瞄准、中键标记。三种专用弹药放入飞机货仓。空格上升、C下降。"
"vehicleApacheHelicopterChassis","items","Item","","AH-64 阿帕奇机身","AH-64 阿帕奇机身","AH-64 阿帕奇機身"
"vehicleApacheHelicopterChassisDesc","items","Item","","以旋翼机拆件改造的强化机身。在AEC载具总装台制作。","以旋翼机拆件改造的强化机身。在AEC载具总装台制作。","以旋翼機拆件改造的強化機身。在AEC載具總裝台製作。"
"vehicleApacheHelicopterAccessories","items","Item","","AH-64 阿帕奇航电组件","AH-64 阿帕奇航电组件","AH-64 阿帕奇航電組件"
"vehicleApacheHelicopterAccessoriesDesc","items","Item","","直升机航电与旋翼组件。在AEC载具总装台制作。","直升机航电与旋翼组件。在AEC载具总装台制作。","直升機航電與旋翼組件。在AEC載具總裝台製作。"
"pzApacheRocket","items","Item","","阿帕奇航空火箭弹","阿帕奇航空火箭弹","阿帕奇航空火箭彈"
"pzApacheRocketDesc","items","Item","","装入阿帕奇货仓。主驾按住右键瞄准，R切换普通火箭，按住G三连发、松开停火，每发消耗1枚。火箭从左右挂架朝准星汇聚，发射后不追踪。基础爆炸伤害：实体100000、方块50。","装入阿帕奇货仓。主驾按住右键瞄准，R切换普通火箭，按住G三连发、松开停火，每发消耗1枚。火箭从左右挂架朝准星汇聚，发射后不追踪。基础爆炸伤害：实体100000、方块50。","装入阿帕奇货仓。主驾按住右键瞄准，R切换普通火箭，按住G三连发、松开停火，每发消耗1枚。火箭从左右挂架朝准星汇聚，发射后不追踪。基础爆炸伤害：实体100000、方块50。"
"pzApache30mm","items","Item","","阿帕奇30毫米机炮弹","阿帕奇30毫米机炮弹","阿帕奇30毫米機炮彈"
"pzApache30mmDesc","items","Item","","装入阿帕奇储物箱。副驾鼠标瞄准、左键开火。基础实体伤害20000、方块伤害8，每分钟360发；持续射击会过热。","装入阿帕奇储物箱。副驾鼠标瞄准、左键开火。基础实体伤害20000、方块伤害8，每分钟360发；持续射击会过热。","裝入阿帕奇儲物箱。副駕滑鼠瞄準、左鍵開火。基礎實體傷害20000、方塊傷害8，每分鐘360發；持續射擊會過熱。"
"pzApachePilotHUD","items","Item","","主驾 / 火箭弹","主驾 / 火箭弹","主駕 / 火箭彈"
"pzApacheGunnerHUD","items","Item","","副驾 / 机炮","副驾 / 机炮","副駕 / 機炮"
"pzApacheCargoAmmo","items","Item","","机载余弹","机载余弹","機載餘彈"
"pzApacheHeat","items","Item","","热量","热量","熱量"
"pzApacheOutOfArc","items","Item","","超出射界","超出射界","超出射界"
"pzApacheOverheated","items","Item","","过热冷却中","过热冷却中","過熱冷卻中"
"pzApacheEmpty","items","Item","","弹药耗尽","弹药耗尽","彈藥耗盡"
"pzApacheReady","items","Item","","可以开火","可以开火","可以開火"
"pzApacheFire","items","Item","","按住开火","按住开火","按住開火"
"pzApacheResume","items","Item","","冷却至35%恢复","冷却至35%恢复","冷卻至35%恢復"
"pzApacheDirectionSight","items","Item","","方向瞄准 / 最大射程300米","方向瞄准 / 最大射程300米","方向瞄準 / 最大射程300米"
"pzApacheAzimuth","items","Item","","方位","方位","方位"
"pzApacheElevation","items","Item","","俯仰","俯仰","俯仰"
"pzApacheSalvoHint","items","Item","","准星汇聚 / 三连发","准星汇聚 / 三连发","准星汇聚 / 三连发"
"pzApacheSyncing","items","Item","","等待同步","等待同步","等待同步"
"pzApacheStorageBusy","items","Item","","货仓占用暂停","货仓占用暂停","貨倉佔用暫停"
"pzApacheMuzzleBlocked","items","Item","","炮口受阻","炮口受阻","炮口受阻"
"pzApacheReload","items","Item","","冷却","冷却","冷卻"
"pzApacheOffscreen","items","Item","","边缘指示","边缘指示","邊緣指示"
"pzApacheRocketLeft","items","Item","","左挂架预测","左挂架预测","左掛架預測"
"pzApacheRocketRight","items","Item","","右挂架预测","右挂架预测","右掛架預測"
"pzApachePredictionHint","items","Item","","预计碰撞点：按当前速度及当前场景估算","预计碰撞点：按当前速度及当前场景估算","預計碰撞點：按當前速度及當前場景估算"
"pzApacheNoPrediction","items","Item","","火箭寿命范围内未预测到碰撞","火箭寿命范围内未预测到碰撞","火箭壽命範圍內未預測到碰撞"
"pzApacheSharedMark","items","Item","","乘员标记","乘员标记","乘員標記"
"pzApacheZoomActive","items","Item","","2倍瞄准 / 松开恢复","2倍瞄准 / 松开恢复","2倍瞄準 / 鬆開恢復"
"pzApacheZoomHint","items","Item","","按住2倍瞄准","按住2倍瞄准","按住2倍瞄準"
"pzApacheMarkHint","items","Item","","标记15秒 / 对空标记清除","标记15秒 / 对空标记清除","標記15秒 / 對空標記清除"
"ammoGasCan","items","Item","","汽油罐","汽油罐","汽油桶"
"carBattery","items","Item","","汽车铅蓄电池","汽车铅蓄电池","汽車鉛蓄電池組"
"questRewardVehiclePartsBundle","items","Item","","载具零件组合包","载具零件组合包","車輛零件梱包"
"resourceBulletCasing","items","Item","","弹壳","弹壳","子彈殼"
"resourceBulletTip","items","Item","","子弹弹头","子弹弹头","子彈彈頭"
"resourceDuctTape","items","Item","","胶带","胶带","膠帶"
"resourceElectricParts","items","Item","","电子零件","电子零件","電氣零件"
"resourceForgedSteel","items","Item","","锻钢","锻钢","鍛鋼"
"resourceGunPowder","items","Item","","火药","火药","火藥"
"resourceHeadlight","items","Item","","前照灯","前照灯","前燈"
"resourceLeather","items","Item","","皮革","皮革","皮革"
"resourceLegendaryParts","items","Item","","传奇零件","传奇零件","傳說零件"
"resourceMechanicalParts","items","Item","","机械零件","机械零件","機械零件"
"resourceMetalPipe","items","Item","","短铁管","短铁管","短鐵管"
"resourceRocketCasing","items","Item","","火箭弹壳","火箭弹壳","火箭彈殼"
"resourceRocketTip","items","Item","","火箭弹头","火箭弹头","火箭彈頭"
"resourceSpring","items","Item","","弹簧","弹簧","彈簧"
"smallEngine","items","Item","","发动机","发动机","發動機"
"vehicleGyrocopterPlaceable","items","Item","","旋翼机","旋翼机","旋翼機"
"vehiclesSkillMagazine","items","Item","","载具大冒险","载具大冒险","《車車大冒險》"
"vehicleWheels","items","Item","","车轮","车轮","車輪"
"workbench","items","Item","","工作台","工作台","工作臺"
"aecGyroPieces","items","Item","","旋翼机拆解组件","旋翼机拆解组件","旋翼機拆解組件"
"aecGyroPiecesDesc","items","Item","","由一架旋翼机在AEC载具总装台拆解所得，用于载具改装和阿帕奇机身制造。","由一架旋翼机在AEC载具总装台拆解所得，用于载具改装和阿帕奇机身制造。","由一架旋翼机在AEC载具总装台拆解所得，用于载具改装和阿帕奇机身制造。"
"aecVehicleFinalAssemblyBench","items","Item","","AEC载具总装台","AEC载具总装台","AEC载具总装台"
"AECvehicleFinalAssembly","items","Item","","载具总装与组件","载具总装与组件","载具总装与组件"
"AECvehicleFinalAirplane","items","Item","","航空载具","航空载具","航空载具"
"ammoGasCanDesc","items","Item","","一罐汽油。可用于给动力工具和载具提供燃料。\n一次制作 2 个。","一罐汽油。可用于给动力工具和载具提供燃料。\n一次制作 2 个。","汽油桶。可為燃料驅動的工具和車輛加油。\n每次製作 2 桶。"
"carBatteryDesc","items","Item","","汽车电池可用于制作载具，也可分解或熔炼为铅。用有强力的电池组充电。","汽车电池可用于制作载具，也可分解或熔炼为铅。用有强力的电池组充电。","汽車電池既可以用於製造汽車，也可以在鍛造爐報廢或冶煉以獲取鉛。用動力蓄電池組給它們充電。"
"questRewardVehiclePartsBundleDesc","items","Item","","一包组件，用于帮助制作载具。","一包组件，用于帮助制作载具。","協助製作車輛之組件的梱包。"
"resourceBulletCasingDesc","items","Item","","弹壳可通过锻造炉制作获得，用于制作枪支弹药。","弹壳可通过锻造炉制作获得，用于制作枪支弹药。","子彈殼可以在鍛造爐中製作，並用於製作槍支彈藥。"
"resourceBulletTipDesc","items","Item","","弹尖可通过锻造炉制作获得，用于制作枪支弹药。","弹尖可通过锻造炉制作获得，用于制作枪支弹药。","子彈頭可以在鍛造爐中製作，並用於製作槍支彈藥。"
"resourceDuctTapeDesc","items","Item","","胶带可用于制作很多东西。麦德摩尔·麦克戴弗曾说这是制作更多酷炫物品的必要资源。","胶带可用于制作很多东西。麦德摩尔·麦克戴弗曾说这是制作更多酷炫物品的必要资源。","膠帶可用於製作許多物品，且根據麥摩爾·麥克戴佛的說法，這是製作酷炫物品的必備材料。"
"resourceElectricPartsDesc","items","Item","","电线、开关、螺纹接头……","电线、开关、螺纹接头……","電線、開關、螺絲接頭......"
"resourceForgedSteelDesc","items","Item","","安装坩埚升级后，可通过锻造炉制作获得。钢可用来制作一些坚固的物品。","安装坩埚升级后，可通过锻造炉制作获得。钢可用来制作一些坚固的物品。","安裝加強坩堝後可以在鍛造爐中製作。鋼用於製造一些最堅固的物品。"
"resourceGunPowderDesc","items","Item","","火药由煤炭和硝酸盐制成，可用于制作你自己的弹药和炸药。","火药由煤炭和硝酸盐制成，可用于制作你自己的弹药和炸药。","由煤和硝酸鹽製成的火藥可用於製造彈藥和炸藥。"
"resourceHeadlightDesc","items","Item","","前照灯对于制作载具和灯具很有用处。","前照灯对于制作载具和灯具很有用处。","前燈在製造車輛和照明中很有用。"
"resourceLeatherDesc","items","Item","","皮革可用于制作很多东西。","皮革可用于制作很多东西。","皮革可用於製作多種物品。"
"resourceLegendaryPartsDesc","items","Item","","这些尚未拆包的零件是制作传奇装备的关键要素。\n\n用于制作品质为6（传奇）的护甲、工具和武器。","这些尚未拆包的零件是制作传奇装备的关键要素。\n\n用于制作品质为6（传奇）的护甲、工具和武器。","這些保存在出廠包裝中的零件是製作傳說裝備的關鍵材料。\n\n用於製作傳說品質 6 級護甲、工具和武器。"
"resourceMechanicalPartsDesc","items","Item","","一些小零件，如链轮、螺母和螺栓。","一些小零件，如链轮、螺母和螺栓。","鍊輪，螺母和螺栓等小零件。"
"resourceMetalPipeDesc","items","Item","","十分寻常的短铁管。可用在很多配方中。","十分寻常的短铁管。可用在很多配方中。","一種十分普通的短鐵管。可以用於各種配方中。"
"resourceRocketCasingDesc","items","Item","","火箭弹壳可用于制作火箭发射器的弹药。","火箭弹壳可用于制作火箭发射器的弹药。","火箭筒用於為火箭發射器製造彈藥。"
"resourceRocketTipDesc","items","Item","","火箭弹尖可用于制作火箭发射器的弹药。","火箭弹尖可用于制作火箭发射器的弹药。","火箭尖端部分用於為火箭發射器製造彈藥。"
"resourceSpringDesc","items","Item","","弹簧是制作家具、钢门、闸门等物品的上好材料。","弹簧是制作家具、钢门、闸门等物品的上好材料。","彈簧非常適合用於製作傢俱、鋼門、艙門等。"
"smallEngineDesc","items","Item","","载具或发电机的普通零件。","载具或发电机的普通零件。","車輛或發電機的常用部件。"
"vehiclesSkillMagazineDesc","items","Item","","快来看看我们的自行车、越野车、旋翼机等等！\n\n提高载具的制作技能。","快来看看我们的自行车、越野车、旋翼机等等！\n\n提高载具的制作技能。","包羅萬象的自行車、越野車、旋翼機，以及更多精彩內容！\n\n增進車輛製作技能。"
"workbenchDesc","items","Item","","许多高级制作配方都需要工作台。在背包里可制作的物品，均可在工作台上制作。\n\n可使用锻铁、机械零件和木头修理。","许多高级制作配方都需要工作台。在背包里可制作的物品，均可在工作台上制作。\n\n可使用锻铁、机械零件和木头修理。","許多高級手工製作秘訣都需要一個工作臺。在工作臺上，你還可以製作背包中所需的所有物品。\n\n使用鍛鐵、機械零件、木頭修理。"
"pzApacheGuidedMissile","items","Item","","阿帕奇制导导弹","阿帕奇制导导弹","阿帕奇制导导弹"
"pzApacheGuidedMissileDesc","items","Item","","主驾锁定用制导导弹。放入飞机货仓，R切换导弹模式，按住右键瞄准活着的僵尸，持续2秒完成锁定，G单发；每发冷却8秒，松开G后可再次发射。射程350米，基础爆炸伤害15万、半径5米；转弯有限，不能穿过障碍，目标死亡后直飞。车辆制作100级，在工作台合成。","主驾锁定用制导导弹。放入飞机货仓，R切换导弹模式，按住右键瞄准活着的僵尸，持续2秒完成锁定，G单发；每发冷却8秒，松开G后可再次发射。射程350米，基础爆炸伤害15万、半径5米；转弯有限，不能穿过障碍，目标死亡后直飞。车辆制作100级，在工作台合成。","主驾锁定用制导导弹。放入飞机货仓，R切换导弹模式，按住右键瞄准活着的僵尸，持续2秒完成锁定，G单发；每发冷却8秒，松开G后可再次发射。射程350米，基础爆炸伤害15万、半径5米；转弯有限，不能穿过障碍，目标死亡后直飞。车辆制作100级，在工作台合成。"
"pzApachePilotAimRequired","items","Item","","按住右键进入瞄准","按住右键进入瞄准","按住右键进入瞄准"
